# Conditions: NA =  10  NB =  10  Chi =  0.3
# Spinordal_1 =  0.211324865405  Spinordal_2 =  0.788675134595
# Binordal_1 =  0.92927981832 Binordal_2 = 0.07072018168
#
# tangent line: y=ax + b, a=  1.11577413975e-14 , b =  -0.00583413494415
#  1.11577413975e-14  * x +  -0.00583413494415
#
# Free Energy
# Phi 	Free Energy
0.188 	-0.00253419137588
0.189 	-0.00249327012483
0.19 	-0.00245229646618
0.191 	-0.00241127303249
0.192 	-0.00237020242678
0.193 	-0.00232908722296
0.194 	-0.00228792996635
0.195 	-0.00224673317403
0.196 	-0.00220549933531
0.197 	-0.00216423091215
0.198 	-0.00212293033957
0.199 	-0.00208160002602
0.2 	-0.00204024235382
0.201 	-0.0019988596795
0.202 	-0.00195745433421
0.203 	-0.00191602862409
0.204 	-0.00187458483058
0.205 	-0.00183312521086
0.206 	-0.00179165199813
0.207 	-0.00175016740198
0.208 	-0.00170867360872
0.209 	-0.00166717278173
0.21 	-0.00162566706172
0.211 	-0.00158415856713
0.212 	-0.00154264939437
0.213 	-0.00150114161815
0.214 	-0.00145963729181
0.215 	-0.00141813844755
0.216 	-0.00137664709676
0.217 	-0.00133516523031
0.218 	-0.00129369481877
0.219 	-0.00125223781275
0.22 	-0.00121079614314
0.221 	-0.00116937172134
0.222 	-0.00112796643957
0.223 	-0.00108658217109
0.224 	-0.00104522077044
0.225 	-0.00100388407373
0.226 	-0.000962573898815
0.227 	-0.000921292045578
0.228 	-0.00088004029614
0.229 	-0.000838820415089
0.23 	-0.000797634149705
0.231 	-0.000756483230176
0.232 	-0.000715369369814
0.233 	-0.000674294265264
0.234 	-0.000633259596714
0.235 	-0.000592267028096
0.236 	-0.000551318207287
0.237 	-0.000510414766307
0.238 	-0.00046955832151
0.239 	-0.000428750473776
0.24 	-0.000387992808697
0.241 	-0.000347286896761
0.242 	-0.00030663429353
0.243 	-0.000266036539824
0.244 	-0.000225495161887
0.245 	-0.000185011671567
0.246 	-0.000144587566478
0.247 	-0.000104224330171
0.248 	-6.39234322942e-05
0.249 	-2.3686328756e-05
0.25 	1.64855381192e-05
0.251 	5.65907394338e-05
0.252 	9.66278595651e-05
0.253 	0.000136595496014
0.254 	0.000176492259258
0.255 	0.000216316772603
0.256 	0.000256067672045
0.257 	0.000295743606123
0.258 	0.000335343235784
0.259 	0.000374865234244
0.26 	0.000414308286858
0.261 	0.000453671090981
0.262 	0.000492952355842
0.263 	0.000532150802416
0.264 	0.000571265163294
0.265 	0.000610294182565
0.266 	0.000649236615685
0.267 	0.000688091229365
0.268 	0.000726856801445
0.269 	0.000765532120785
0.27 	0.00080411598714
0.271 	0.000842607211057
0.272 	0.000881004613756
0.273 	0.000919307027023
0.274 	0.0009575132931
0.275 	0.000995622264581
0.276 	0.00103363280431
0.277 	0.00107154378525
0.278 	0.00110935409045
0.279 	0.00114706261285
0.28 	0.00118466825525
0.281 	0.00122216993021
0.282 	0.0012595665599
0.283 	0.00129685707608
0.284 	0.00133404041995
0.285 	0.00137111554206
0.286 	0.00140808140228
0.287 	0.00144493696963
0.288 	0.00148168122223
0.289 	0.00151831314725
0.29 	0.00155483174073
0.291 	0.0015912360076
0.292 	0.00162752496154
0.293 	0.00166369762487
0.294 	0.00169975302857
0.295 	0.00173569021208
0.296 	0.0017715082233
0.297 	0.00180720611852
0.298 	0.00184278296226
0.299 	0.00187823782729
0.3 	0.00191356979451
0.301 	0.00194877795287
0.302 	0.00198386139932
0.303 	0.00201881923873
0.304 	0.00205365058381
0.305 	0.00208835455507
0.306 	0.0021229302807
0.307 	0.00215737689657
0.308 	0.00219169354612
0.309 	0.00222587938027
0.31 	0.00225993355744
0.311 	0.0022938552434
0.312 	0.00232764361126
0.313 	0.00236129784137
0.314 	0.0023948171213
0.315 	0.00242820064576
0.316 	0.00246144761652
0.317 	0.00249455724238
0.318 	0.00252752873912
0.319 	0.0025603613294
0.32 	0.00259305424276
0.321 	0.0026256067155
0.322 	0.00265801799068
0.323 	0.00269028731804
0.324 	0.00272241395396
0.325 	0.0027543971614
0.326 	0.00278623620983
0.327 	0.00281793037522
0.328 	0.00284947893994
0.329 	0.00288088119277
0.33 	0.00291213642878
0.331 	0.00294324394935
0.332 	0.00297420306206
0.333 	0.00300501308071
0.334 	0.0030356733252
0.335 	0.00306618312154
0.336 	0.00309654180179
0.337 	0.00312674870398
0.338 	0.00315680317214
0.339 	0.00318670455618
0.34 	0.00321645221188
0.341 	0.00324604550087
0.342 	0.00327548379053
0.343 	0.00330476645402
0.344 	0.00333389287016
0.345 	0.00336286242348
0.346 	0.00339167450408
0.347 	0.00342032850769
0.348 	0.00344882383556
0.349 	0.00347715989443
0.35 	0.00350533609654
0.351 	0.00353335185953
0.352 	0.00356120660647
0.353 	0.00358889976574
0.354 	0.00361643077108
0.355 	0.00364379906149
0.356 	0.00367100408124
0.357 	0.0036980452798
0.358 	0.00372492211183
0.359 	0.00375163403713
0.36 	0.00377818052063
0.361 	0.00380456103233
0.362 	0.00383077504728
0.363 	0.00385682204555
0.364 	0.0038827015122
0.365 	0.00390841293723
0.366 	0.0039339558156
0.367 	0.00395932964712
0.368 	0.00398453393648
0.369 	0.00400956819323
0.37 	0.00403443193169
0.371 	0.00405912467098
0.372 	0.00408364593495
0.373 	0.00410799525218
0.374 	0.00413217215596
0.375 	0.0041561761842
0.376 	0.0041800068795
0.377 	0.00420366378903
0.378 	0.00422714646458
0.379 	0.00425045446248
0.38 	0.00427358734359
0.381 	0.00429654467329
0.382 	0.00431932602144
0.383 	0.00434193096237
0.384 	0.00436435907482
0.385 	0.00438660994197
