# NA, NB = 6.0 600.0
# critical point: chi = 0.100833333333  phi = 0.909090909091
# chi	binodal_L	binodal_H	spinodal_L	spinodal_H
0.100833333333 	0.909090909091 	0.909090909091 	0.909090909091 	0.909090909091
0.102345833333 	0.837743054749 	0.958758075456 	0.86757835296 	0.938512108303
0.103858333333 	0.802875773282 	0.972745490309 	0.846687039891 	0.947664239897
0.105370833333 	0.77446759025 	0.981046159139 	0.829271696145 	0.953677412163
0.106883333333 	0.749606333495 	0.986544868986 	0.813725386416 	0.958144253378
0.108395833333 	0.727142019415 	0.990365062864 	0.799429365569 	0.961670000182
0.109908333333 	0.706471898352 	0.993083572805 	0.786066854911 	0.964558666357
0.111420833333 	0.687229267228 	0.995041611726 	0.77344916291 	0.966986871643
0.112933333333 	0.669169050095 	0.996459032671 	0.761452452735 	0.969067027784
0.114445833333 	0.652116459245 	0.997485551665 	0.749989698 	0.970875340046
0.115958333333 	0.635940758826 	0.998226919235 	0.73899652628 	0.972465924313
0.117470833333 	0.620540550468 	0.998759624773 	0.728423382642 	0.973878607214
0.118983333333 	0.605834919327 	0.999139794353 	0.718230879215 	0.975143542973
0.120495833333 	0.591757802614 	0.999408913787 	0.70838688058 	0.976284096978
0.122008333333 	0.578254242618 	0.999597703992 	0.698864594515 	0.977318726296
0.123520833333 	0.565277798462 	0.999728860022 	0.689641274629 	0.978262250417
0.125033333333 	0.552788700865 	0.999819053624 	0.680697311047 	0.979126735873
0.126545833333 	0.540752500797 	0.999880433353 	0.672015575867 	0.979922127863
0.128058333333 	0.529139056862 	0.999921765013 	0.663580940955 	0.980656711157
0.129570833333 	0.517921761513 	0.999949303935 	0.655379915354 	0.98133745288
0.131083333333 	0.507076939832 	0.99996746135 	0.647400367638 	0.981970261733
0.132595833333 	0.496583375684 	0.99997931004 	0.639631309785 	0.982560186932
0.134108333333 	0.48642193369 	0.999986963946 	0.632062726459 	0.983111572926
0.135620833333 	0.476575254406 	0.999991859409 	0.624685438314 	0.983628181152
0.137133333333 	0.467027506238 	0.999994960488 	0.617490991197 	0.984113286877
0.138645833333 	0.45776418182 	0.999996906544 	0.610471565326 	0.984569756988
0.140158333333 	0.448771929564 	0.999998116691 	0.603619900054 	0.985000113026
0.141670833333 	0.440038413307 	0.999998862584 	0.596929230957 	0.985406582696
0.143183333333 	0.431552194529 	0.999999318396 	0.590393236751 	0.98579114225
0.144695833333 	0.423302632857 	0.999999594629 	0.584005994133 	0.986155551638
0.146208333333 	0.415279801449 	0.999999760685 	0.577761939071 	0.986501383813
0.147720833333 	0.407474414598 	0.999999859728 	0.571655833384 	0.986830049334
0.149233333333 	0.399877765385 	0.999999918354 	0.565682735701 	0.987142817124
0.150745833333 	0.392481671689 	0.999999952799 	0.559837976065 	0.987440832083
0.152258333333 	0.385278430344 	0.9999999 	0.554117133604 	0.987725130093
0.153770833333 	0.378260771991 	0.9999999 	0.548516016786 	0.987996650874
0.155283333333 	0.371421829539 	0.9999999 	0.543030645886 	0.988256249038
0.156795833333 	0.364755103672 	0.9999999 	0.53765723732 	0.988504703633
0.158308333333 	0.358254434798 	0.9999999 	0.532392189622 	0.988742726417
0.159820833333 	0.351913977576 	0.9999999 	0.527232070805 	0.988970969057
0.161333333333 	0.345728178098 	0.9999999 	0.522173606954 	0.989190029409
0.162845833333 	0.339691753343 	0.9999999 	0.517213671882 	0.989400457023
0.164358333333 	0.333799672636 	0.9999999 	0.512349277718 	0.989602757976
0.165870833333 	0.328047140838 	0.9999999 	0.50757756633 	0.98979739913
0.167383333333 	0.322429583068 	0.9999999 	0.502895801464 	0.989984811899
0.168895833333 	0.316942630775 	0.9999999 	0.498301361544 	0.990165395579
0.170408333333 	0.311582109 	0.9999999 	0.493791733049 	0.990339520313
0.171920833333 	0.306344024702 	0.9999999 	0.4893645044 	0.990507529724
0.173433333333 	0.301224556022 	0.9999999 	0.485017360321 	0.990669743273
0.174945833333 	0.296220042408 	0.9999999 	0.480748076616 	0.990826458359
0.176458333333 	0.291326975487 	0.9999999 	0.47655451532 	0.990977952212
0.177970833333 	0.286541990626 	0.9999999 	0.472434620203 	0.991124483582
0.179483333333 	0.281861859112 	0.9999999 	0.468386412574 	0.99126629427
0.180995833333 	0.277283480893 	0.9999999 	0.464407987374 	0.991403610499
