# Conditions: NA =  10  NB =  20  Chi =  0.3
# Spinordal_1 =  0.185666510612  Spinordal_2 =  0.897666822722
# Binordal_1 =  0.993225525988 Binordal_2 = 0.0384811113975
#
# tangent line: y=ax + b, a=  0.00311460950916 , b =  -0.00344187025163
#  0.00311460950916  * x +  -0.00344187025163
#
# Free Energy
# Phi 	Free Energy
0.193 	0.00632322826927
0.194 	0.00640363295361
0.195 	0.00648401513891
0.196 	0.00656437225878
0.197 	0.00664470177402
0.198 	0.00672500117217
0.199 	0.00680526796713
0.2 	0.00688549969875
0.201 	0.00696569393247
0.202 	0.00704584825893
0.203 	0.00712596029356
0.204 	0.0072060276763
0.205 	0.00728604807117
0.206 	0.00736601916595
0.207 	0.00744593867184
0.208 	0.00752580432312
0.209 	0.00760561387681
0.21 	0.00768536511236
0.211 	0.00776505583135
0.212 	0.00784468385713
0.213 	0.00792424703457
0.214 	0.00800374322972
0.215 	0.00808317032954
0.216 	0.0081625262416
0.217 	0.0082418088938
0.218 	0.00832101623411
0.219 	0.00840014623026
0.22 	0.0084791968695
0.221 	0.00855816615835
0.222 	0.0086370521223
0.223 	0.00871585280559
0.224 	0.00879456627096
0.225 	0.00887319059939
0.226 	0.00895172388987
0.227 	0.00903016425918
0.228 	0.00910850984161
0.229 	0.00918675878881
0.23 	0.00926490926947
0.231 	0.00934295946919
0.232 	0.00942090759023
0.233 	0.00949875185127
0.234 	0.00957649048724
0.235 	0.00965412174911
0.236 	0.00973164390367
0.237 	0.00980905523336
0.238 	0.00988635403605
0.239 	0.00996353862486
0.24 	0.010040607328
0.241 	0.0101175584884
0.242 	0.010194390464
0.243 	0.010271101627
0.244 	0.0103476903641
0.245 	0.0104241550759
0.246 	0.0105004941772
0.247 	0.0105767060968
0.248 	0.0106527892769
0.249 	0.0107287421733
0.25 	0.0108045632551
0.251 	0.0108802510046
0.252 	0.0109558039173
0.253 	0.0110312205013
0.254 	0.0111064992777
0.255 	0.01118163878
0.256 	0.0112566375544
0.257 	0.011331494159
0.258 	0.0114062071645
0.259 	0.0114807751533
0.26 	0.0115551967199
0.261 	0.0116294704703
0.262 	0.0117035950225
0.263 	0.0117775690057
0.264 	0.0118513910606
0.265 	0.0119250598391
0.266 	0.0119985740042
0.267 	0.0120719322299
0.268 	0.0121451332012
0.269 	0.0122181756137
0.27 	0.0122910581738
0.271 	0.0123637795982
0.272 	0.0124363386143
0.273 	0.0125087339597
0.274 	0.012580964382
0.275 	0.0126530286392
0.276 	0.0127249254991
0.277 	0.0127966537394
0.278 	0.0128682121477
0.279 	0.012939599521
0.28 	0.0130108146662
0.281 	0.0130818563995
0.282 	0.0131527235465
0.283 	0.0132234149421
0.284 	0.0132939294303
0.285 	0.0133642658644
0.286 	0.0134344231064
0.287 	0.0135044000276
0.288 	0.0135741955077
0.289 	0.0136438084356
0.29 	0.0137132377083
0.291 	0.013782482232
0.292 	0.0138515409207
0.293 	0.0139204126974
0.294 	0.0139890964931
0.295 	0.0140575912471
0.296 	0.0141258959067
0.297 	0.0141940094276
0.298 	0.0142619307732
0.299 	0.0143296589151
0.3 	0.0143971928324
0.301 	0.0144645315122
